C++ Loop Execution time (ns),Java Loop Execution time (ns)
60698,427705
27391,344081
27427,366772
27455,692357
27465,89144
27418,95943
27352,89266
27522,118189
27445,161264
27370,141860
36522,139296
27357,148834
27474,154374
27472,153230
27557,192667
27411,163095
27349,153768
27451,153415
27393,176332
27298,156614
27505,200366
27471,157668
27459,154764
27436,155992
27438,152753
27367,153544
27280,199734
27337,194119
27467,208686
27353,155351
27365,156880
27408,160741
27388,208782
27451,149110
27441,157628
27434,147589
27388,154729
27244,163063
27385,219298
27354,168797
27382,160460
27238,151302
27341,164024
27427,156878
27491,213222
27363,155188
32698,155920
27396,162097
27288,157464
27434,158201
27273,209652
27373,157236
27340,154568
27576,167116
27416,154915
27357,157429
27438,213131
27445,156529
27449,141426
27415,151106
27425,176717
27414,40664
27457,40489
27470,40672
27414,45290
27462,76658
27337,53754
27322,41423
27390,37983
27390,43090
27411,38123
27545,40359
27550,39441
27322,41729
27366,39033
27380,39506
27471,40918
27480,50690
27389,54594
27575,53359
27457,44723
27324,40032
27556,43854
32610,42184
27428,40955
27461,37993
27483,42542
27407,70688
27303,56659
27301,40818
27426,39987
27329,39030
27537,43100
27337,40022
27507,38980
27457,43440
27525,37825
27477,40523
27337,40139
27491,39344
27390,38919
27304,42691
27504,40827
27443,40308
27293,39583
27447,51128
27458,44485
27486,39636
27318,43256
27330,38104
27341,75362
27531,68023
27366,39787
27426,38650
27340,40483
27295,41245
27509,40750
27390,39107
27451,49918
34859,39062
27376,40533
27407,43449
27278,37981
27459,40694
27462,41797
27408,39228
27485,38223
27497,43883
27411,38470
27399,40557
27549,39968
27422,42241
27253,38215
27448,45240
27522,80375
27272,41841
27337,40923
27471,43006
27540,39218
27395,39326
27473,43431
27685,38710
27394,40274
27477,38465
27374,43534
27425,38913
27705,39664
33059,41492
30466,39157
27471,39509
27634,42046
27382,39310
27511,38682
27468,42804
27381,40125
33834,40304
27436,40248
27468,94819
27482,38754
27365,40607
27298,41865
27492,39236
27300,37972
27385,43730
27510,39749
27420,38231
27494,41776
27441,39404
27285,45620
27538,43164
27476,39096
27356,39466
27543,41291
27268,44058
27392,37855
27366,39354
27365,41733
27758,41190
27576,38837
27453,42299
27492,77292
27565,56404
27428,42845
27461,39083
27483,40849
27484,41696
31575,41043
27908,37615
27447,39705
31215,39810
55021,42118
27455,37785
27493,41955
27197,38981
27512,40884
27284,41393
27427,41074
27519,40929
27404,40449
27388,39388
27380,40368
27386,39326
27541,40335
27446,40326
27396,91582
27362,42956
27349,39235
27424,40436
27371,41455
27414,39996
27476,40602
27445,40559
27469,39652
27448,38731
27356,42257
27430,38037
27227,41469
27411,38689
27636,42969
27333,38101
27415,41764
27434,40642
27556,40650
27308,39000
27511,42421
27421,39986
34385,41199
27524,71173
27316,55355
27310,41769
27343,37550
27510,42884
27558,38283
27500,40877
27545,40396
27475,39535
27399,38639
27390,41558
27586,38226
27434,40126
27335,42661
27513,39319
27381,40830
27381,39951
27569,46561
27531,38187
27557,40823
27468,39826
27399,39655
27411,40091
27403,47159
27338,85786
27539,39195
27431,43177
27310,38229
28047,39424
27421,41081
27294,39420
27543,38330
27390,40425
27386,40902
27496,39415
35449,43209
27507,42558
27407,38844
27320,40634
27382,41774
27326,78512
27708,39905
27403,63938
27362,40474
27418,39227
27396,2285159
27440,10773
27450,12100
27380,11845
27379,13065
27562,12119
27321,42396
27530,38800
27414,39539
27421,42553
27545,37589
27396,40747
27366,36371
27508,37495
27400,38771
27434,36532
27497,43740
27690,36679
27440,36844
27726,40602
27583,36985
27599,41461
27575,40162
27610,64696
27698,38394
29303,13496
42798,10129
34458,12217
28844,12170
27642,11758
27647,12078
27378,9642
27406,12681
28032,11799
35757,12903
36380,12244
33171,9680
27485,12041
27372,12536
27464,12538
27430,12241
27486,9564
27446,12584
27428,12947
27432,12409
27396,12502
27433,10040
27391,12861
32200,12692
35247,12534
33897,13360
34365,9949
35069,12983
35119,11987
34635,12862
35168,12485
35024,9733
34810,12190
44113,12716
33641,12640
27422,12746
27514,9615
27501,13388
27485,12472
27350,12416
27470,12662
27452,9794
27345,12487
27436,13091
27550,12608
27534,12968
27389,9661
27491,14126
27409,12926
27374,13136
27497,12632
27600,10266
31046,13213
31527,12795
27457,13039
27356,13103
27305,9650
27491,12979
30336,12275
27446,12851
27564,12488
27426,9720
27457,12625
27382,12096
27509,33847
27525,13643
27545,9563
27392,12860
63944,12361
27576,12917
27590,13466
27358,9857
27390,12670
27538,13017
27404,53278
27503,13913
27517,28542
27454,12850
27407,16113
27438,12643
27370,9472
27438,9951
27428,9535
27360,9781
28731,9406
27420,9755
27418,9695
27432,9520
27500,9416
27337,9598
27372,9356
27334,9545
27484,9434
27540,9596
27288,9372
27520,9698
27498,9485
27631,9643
27302,9511
27389,9697
27384,9534
27321,9850
27581,9592
36167,10266
27622,9775
27511,9865
31138,9336
27532,9713
27446,9391
27511,9523
27350,9644
27534,9536
27510,9536
27362,9536
27525,9377
27358,9542
27532,9400
27542,9877
27484,9535
27615,9679
27500,9432
27502,9702
27635,9486
27578,9925
27537,10006
27521,10104
27364,9862
27586,10049
27723,10175
27525,9855
27568,9954
27409,25204
27574,9633
27759,9937
27581,9679
27862,9796
27446,9904
27537,9537
56831,9509
27458,9697
27482,10525
27373,10606
27580,9851
27500,9980
27444,9876
27447,10100
27455,9493
27340,10773
27382,10979
27397,10663
27310,9805
27499,10780
27411,10523
27309,10339
27515,9889
27260,10569
27387,9883
28585,10706
27443,9806
27500,10257
27448,9845
27464,9749
27345,9696
27410,10242
27463,9792
27516,9999
27451,48744
27365,19304
27288,29868
27484,9662
27372,9382
27379,9708
27523,9822
27411,9622
36056,9395
27595,9619
27477,9479
27404,9753
27399,9602
27349,9755
27639,10006
27503,9893
27319,9710
27401,11605
27390,9597
27414,9517
27507,9436
27581,9628
27439,9579
27483,9574
27420,9470
27556,9531
27444,9754
27449,9825
27349,9592
27570,9532
27372,9506
27345,9669
27353,9416
27469,9630
27372,27081
27431,9933
27582,9518
27474,9686
27330,9712
27478,9888
27300,9563
27502,9969
27405,9793
27539,10077
34979,9422
27545,9715
27524,10655
27443,11319
27420,11802
27395,11639
27558,10468
27594,11901
27498,11256
27429,11337
27462,11714
27348,12323
27210,11572
27353,11130
27490,11158
27486,10877
27559,10613
32781,10982
31862,11316
27336,11581
27354,11044
27435,11810
27469,35323
27360,13388
27330,14817
27386,13199
27400,12373
27530,10599
27478,10533
27377,11237
27329,11025
27530,10809
27496,10957
27400,10820
27485,11070
34445,11282
27431,10733
27392,10962
27431,10654
27361,10898
27492,11515
27433,42002
27420,9626
27380,10208
27352,9950
27487,10325
27416,10000
27407,9840
27512,9958
