C++ Loop Execution time (ns),Java Loop Execution time (ns)
26824,414988
26779,361244
26663,116859
26730,80562
26806,79626
26858,78165
26773,81796
26701,120077
26840,80814
26735,78996
26747,78704
26783,80089
26723,78977
26713,79064
26782,78311
26587,85337
26711,79902
26697,78677
26636,78600
26781,123092
26749,77977
26684,80050
26747,79226
26667,79593
26763,84044
26668,80220
26711,79355
30522,77261
26747,82413
26742,78563
26699,78776
26727,120410
26662,83092
26677,82831
26788,78416
26651,81374
26735,78208
26747,79795
26687,80982
26711,79803
26671,78379
26777,82346
26761,78926
26757,122194
26757,78403
26717,80526
26730,79417
26656,78385
26635,82612
26625,78507
26667,79533
26604,81486
26739,82018
26782,77330
26699,82326
26632,103149
26682,95655
26643,78226
26760,84336
26678,78211
26625,79840
26681,83971
26669,77112
26634,79967
29978,80628
26710,91409
26666,35659
26686,39396
26769,39074
26646,74358
26606,39032
26779,36455
26749,35583
26744,38974
26730,39741
26788,34462
26712,36814
26734,37618
26660,36552
26825,35138
26803,39089
26745,34684
26733,36974
26697,38166
26718,44473
26731,35646
26694,37485
26729,36931
26723,35288
26779,35678
26778,39102
26665,36001
26737,35291
26782,39524
26816,39096
26734,75568
26610,38106
26713,38021
26588,36464
26696,36979
26682,38033
29606,34164
26630,39187
26629,35250
26659,37380
26748,34798
26635,39473
26774,34334
26831,36868
26765,36800
26676,38742
26850,34443
26634,42335
26664,41074
26799,37444
26713,38781
26705,36493
26689,35864
26619,35039
26609,37780
26658,64455
26611,52822
26750,37255
26908,36883
26739,35204
26765,37794
26750,37445
26749,34262
26667,38747
26716,34227
26678,37642
26762,34486
26714,39117
26596,36476
26748,37396
26758,36859
26733,42687
26713,35537
30193,37674
26736,36723
26657,35571
26757,38486
26748,36007
26684,36410
26674,37572
26658,36045
26733,65165
26685,52212
26561,37874
26814,37158
26702,36643
26763,36888
26636,36926
26804,36057
26815,39971
26736,35545
26627,38086
26737,36554
26749,36956
26628,35637
26905,36961
26625,36770
26684,37746
26728,35443
26834,38375
26782,35822
