C++ Loop Execution time (ns),Java Loop Execution time (ns)
26650,453086
30191,361760
26635,164948
26629,93555
26610,82508
26623,80781
26683,80315
26597,77951
26641,83143
26756,78026
26479,79083
26562,80750
26751,79134
26586,78621
26613,118739
26587,81020
26614,77923
26625,78608
26650,80460
26652,78473
26651,78431
26445,84283
26567,79445
26667,78241
26643,81761
26645,79243
26621,104213
26628,93621
26647,80205
26582,78276
26593,79901
26693,78406
26666,82794
26609,79369
26571,79897
26647,81443
26587,77640
26654,79896
29540,105423
26711,92978
26605,79026
26657,79995
26612,77536
26581,80974
26645,78181
26634,79908
26612,79319
26765,79916
26627,79932
26633,78201
26566,106324
26512,93423
26649,79181
26716,79326
26605,79237
26646,79252
26572,81162
26630,78534
26568,81296
26686,79509
26699,78460
26694,80635
26718,101726
26618,95007
26586,77258
26628,80018
26547,86195
26743,79386
26590,78290
26681,81082
26465,103690
26669,37596
26629,36765
26570,35814
26647,37680
29268,36149
26573,36698
26573,36444
26701,40608
26723,76699
26603,37681
26555,35040
26551,38510
26629,35901
26545,46254
26664,37116
26642,35439
26611,37214
26605,36746
26715,36237
26604,36788
26655,36367
26621,36772
26648,35321
26723,36818
26567,38080
26644,35549
26816,36763
26633,39066
26564,34950
26647,40986
26598,36342
26610,36516
26692,34416
26556,68013
26714,48765
26661,36374
26617,35867
26585,38646
26666,34570
26651,38289
26640,36623
26672,36758
28950,37285
26724,36943
26663,35593
26745,35185
26712,38881
26688,35198
26660,36335
26681,36243
26620,37857
26700,35059
26718,37287
26579,36978
26737,36294
26713,37106
26651,37138
26590,37057
26642,34496
26555,68256
26633,51262
26619,36321
26666,37852
26684,36235
26513,34422
26704,41248
26542,39019
26590,35337
26614,37729
26617,38218
26764,35868
26592,35509
26589,39204
26639,35357
26807,35999
26765,37244
26535,37462
26719,34838
26661,36065
29101,39369
26666,34647
26609,36794
26637,37541
26631,37268
26658,34532
26678,65282
26619,48826
26581,36219
26633,41729
26608,37199
26690,36881
26619,40851
26678,38261
26774,36725
26713,35744
26691,40433
26637,37406
26506,35476
26552,43081
26682,37404
26588,36974
26647,37981
26677,37349
26553,37440
26679,38263
26567,36662
26691,35985
26652,37464
26659,37792
26599,38852
26712,39188
26565,77471
26653,36819
26733,37037
29009,76770
33803,39432
39915,35489
46386,45889
40200,38793
26544,35180
26663,81721
26648,37486
26684,38044
26549,35680
26622,37998
26643,39703
26842,36110
26596,37036
26584,37027
26667,35974
26612,37751
26603,36819
26647,36098
26636,38516
26522,78166
26728,37843
26621,34603
26618,38421
26618,36233
26555,39836
26705,37045
33076,37407
27587,35618
26564,54094
26589,38114
26657,38358
26640,37224
26584,35369
26711,36958
26557,35331
26638,39802
30368,36443
26600,36981
26561,38499
26697,35732
26715,36751
26559,91771
26651,39196
26695,75827
26756,40113
26659,34966
26488,39348
26621,94563
26599,37976
26703,34447
26697,37659
26753,35847
26590,37703
26591,36494
26545,88112
26648,37186
26633,38085
26710,37939
26567,37199
26747,36690
26775,40094
26620,36139
26570,34868
26619,37081
26636,37265
26697,43762
26669,72414
26609,38938
26600,36799
26585,34433
26757,39237
26570,35717
26518,36291
26675,37153
30380,36355
26739,34943
26598,39202
26701,35140
26630,36811
26589,34762
26654,39991
26647,35293
26671,36344
26709,38600
26624,35843
26571,39010
26659,38339
26565,36356
26692,34812
26617,38708
26600,35195
26619,39143
26693,73015
26615,38475
26635,35130
26644,36189
26617,39512
26682,34317
26606,36652
26648,37835
26567,36657
26725,34868
26691,39074
26681,35402
26606,37542
26622,37154
26710,43384
26572,36074
26582,34910
26738,38663
26625,34964
29658,35630
26603,37133
26769,37219
26625,35209
26632,37449
26750,36124
26523,40204
26515,75701
26577,36638
26656,36709
26564,34915
26700,39375
26570,34483
26613,38111
26682,36821
26729,37601
26620,35292
26641,38135
26643,35850
26717,36718
26711,36985
26816,38105
26603,34810
26588,38973
26574,36431
26496,36095
26720,36844
26736,36849
26603,37419
26588,35160
26711,37573
26678,36301
26552,38729
26742,66088
26696,50143
26578,37097
26751,37046
29226,36360
26547,35353
26583,36870
26689,36070
26553,38094
26751,34741
26665,38164
26794,34201
26652,38403
26668,37657
26589,41116
26681,37226
26578,36728
26806,36049
26584,37021
26643,38235
26626,35840
26696,38708
26737,35689
26593,37635
26688,34979
26682,40198
26728,67035
26655,48949
26605,38145
26739,35908
26702,36262
26653,35461
26705,38417
26626,34573
26615,37074
26715,35801
26679,38186
26608,34064
26589,38313
26625,36258
26599,37458
26730,35893
29259,39184
26630,35555
26699,35052
26637,38573
26619,35392
26619,35735
26653,36575
26629,37750
26618,35155
26626,41668
26665,36984
26616,35906
26585,35036
26612,39312
26761,36751
26566,37883
26606,39330
26712,35023
26551,36382
26732,38067
26691,36867
26617,34766
26634,37663
26628,36412
26619,43233
26475,35462
26599,38079
26595,35779
26619,35045
26586,39142
26764,34926
26586,35585
26677,38527
26592,35673
26564,35019
26790,36154
26705,42168
29555,63873
26634,50284
26603,38238
26634,36853
26568,34298
26596,40227
26768,34752
26559,36682
26740,36159
26593,37315
26668,35028
26650,38530
26557,36257
26685,36992
26674,34432
26625,39503
26606,37303
26606,35056
26550,39232
26577,35425
26649,35943
26901,38026
26684,37406
26758,34864
26670,37669
26602,40396
26614,73920
26733,35325
26665,39033
26667,36548
26688,34579
26663,38456
26662,35599
26646,36852
26675,36270
26581,38748
26721,35267
29115,38977
26595,35494
26660,41150
26793,37671
26606,35589
26680,36846
26758,35429
26651,37705
26741,36528
26629,35459
26642,37479
26641,38107
26548,35842
26681,37587
26659,39699
26561,37523
26582,38595
26603,34683
26655,37485
26623,37011
26658,39030
26668,35244
26712,36799
26640,36760
26518,38128
26599,34935
26578,37859
26715,34757
26560,38108
26683,36493
35144,37097
27614,37025
26530,36581
26629,36296
26705,36065
26703,36971
26686,36673
37807,36827
26575,36743
26552,37768
26517,38284
26670,39900
26702,64973
26715,49124
26589,37458
26654,36874
26612,36802
26693,34401
26540,37620
26668,35947
26687,36882
26612,36288
26731,38111
26726,34818
26709,44847
26544,37699
26590,35690
26656,36698
26725,37027
26690,36740
26587,37183
26602,38552
26774,34864
26602,36068
26693,37352
26632,37880
26605,35542
26721,40107
26645,39178
26738,35112
26772,36261
26628,37823
26692,37556
26577,34425
31946,39205
26613,34682
26545,37043
26620,36078
26585,38699
26499,34499
26590,41473
26681,37919
26695,36757
26643,35821
26624,38244
26607,35984
26699,35934
26679,38266
26685,38991
26594,36464
