Array Size,C++ Median (ns),C++ ExecTime (ms),Java Median (ns),Java ExecTime (ms)
1000,1501,1,3980,6
2000,2762,2,7875,10
3000,4136,4,11498,12
4000,5495,5,15508,15
5000,6850,7,10413,20
6000,8226,8,14147,21
7000,9590,10,15560,23
8000,11238,11,17086,24
9000,12329,12,18930,23
10000,13801,14,19958,24
11000,15090,16,21729,23
12000,16462,16,22884,25
13000,17873,20,25197,26
14000,19413,23,28158,29
15000,20660,21,30144,31
16000,21996,22,32057,33
17000,23306,26,34177,34
18000,24815,25,36102,43
19000,26006,26,38447,39
20000,27754,28,40911,43
21000,28845,29,42454,42
22000,30183,31,44217,44
23000,31646,32,46773,47
24000,33021,34,48706,49
25000,34175,34,50534,51
26000,34751,38,52066,53
27000,37200,38,53795,55
28000,37506,41,56256,59
29000,39912,40,59082,59
30000,40422,43,60566,61
31000,42370,43,62198,64
32000,42633,46,65259,65
33000,45247,46,65827,67
34000,45549,49,69080,70
35000,47812,49,70799,71
36000,49675,53,73334,73
37000,50632,52,75445,79
38000,50959,54,77077,77
39000,52052,61,77653,79
40000,53820,57,81391,83
41000,54875,58,81936,85
42000,57486,59,85699,86
43000,58856,60,87194,88
44000,58790,62,87974,89
45000,60214,63,91472,93
46000,61668,75,91786,93
47000,62871,66,93720,96
48000,63864,68,95934,97
49000,65508,75,97970,102
50000,66998,71,99610,101
