C++ Loop Execution time (ns),Java Loop Execution time (ns)
316055,1168016
280574,676894
280588,605661
290680,659131
280599,340663
280308,305253
280358,284392
285367,239900
280432,313671
280295,241453
288395,313991
280555,246991
280361,242317
280350,239241
287929,294189
280897,244760
280945,239684
288577,245250
281062,283142
280778,241088
282026,239036
313109,274772
321841,252222
281149,240468
289607,244129
280888,507690
281116,271990
283119,245667
287635,303796
282085,239830
282065,271434
307784,209499
282482,256162
282601,224495
281415,212971
318621,207075
281267,209656
280673,265418
291260,210177
281182,207991
281286,214116
294806,249165
296333,208953
282563,213897
283401,207907
293824,209457
280540,253419
280395,209714
280422,206941
288485,208705
280417,214851
280385,248806
283713,206912
280618,212896
281518,208242
282461,247330
285435,212594
282832,215215
283516,221806
288770,219714
282725,258445
281105,209819
280407,209751
308050,215854
281394,272967
281177,210728
288441,215116
281391,210924
280403,240708
280476,234061
284668,208916
280909,210143
280644,221011
293293,274764
280921,232700
280390,239520
280343,220223
285844,223854
280843,215691
281551,217477
291269,216020
280898,214388
281678,227069
281059,212961
289611,216523
281334,224776
281171,237182
290658,215115
281943,219706
280897,213967
281114,218578
297259,219508
281387,219397
280971,216009
292175,212446
284009,225740
280898,213479
281048,217566
291928,218955
280780,217487
280299,235922
284394,255068
280500,212499
280288,214655
280297,220424
289192,214412
280459,213946
291861,214246
289384,216147
280615,216143
280324,215232
280455,215475
293807,219194
280874,230802
280440,263911
330905,212194
280844,215446
280414,216370
280355,217396
292246,212906
280560,228092
280463,211096
289446,211735
280677,209244
280369,210493
280371,208997
284368,208731
280974,215172
281223,207225
293308,208028
281250,211551
280831,209173
280918,211095
293531,214061
281148,206650
280858,209267
291735,210887
281285,215643
281067,208661
281069,207797
289455,212556
281930,210695
280998,210031
286316,211771
281190,208722
280939,206994
280436,215861
295241,207111
280508,212120
280269,208572
280288,210924
288596,274698
280418,236868
280365,237916
285238,291462
280499,233755
280311,211686
280571,208584
289923,207839
280786,217846
280346,208139
290549,208702
280540,208211
280300,212113
280309,249264
288774,213436
280459,213715
280335,206896
285028,214189
280497,264268
280393,206969
280628,208027
290036,220737
280481,215234
280362,207296
290504,212028
280645,208420
280380,208490
280381,257780
287940,215780
280408,208179
280318,209075
288939,217022
280599,248667
280384,210096
280315,212523
328994,209390
280573,217372
280366,218105
288697,210678
280577,220374
280402,268805
280440,228121
289211,207957
280595,209515
280302,209860
288054,263558
280532,209405
280344,209875
280287,209586
283727,207143
280507,216847
280362,207201
288893,209882
280641,210134
280337,212816
280362,207868
290305,208670
280560,209395
280335,210928
286724,212640
282369,210634
